Flight;Time;Length;Airline;AirportFrom;AirportTo;DayOfWeek;Class
23130;12960;1410;DL;ATL;HOU;1;0
69480;3600;1460;OO;COS;ORD;4;0
12470;11700;1430;B6;BOS;CLT;3;0
310;14100;3440;US;OGG;PHX;6;0
5630;6920;980;FL;BMI;ATL;4;0
36920;5800;600;WN;MSY;BHM;4;0
11350;6900;2390;CO;EWR;DFW;4;0
13000;12100;800;AA;DFW;MEM;3;0
5870;12950;1050;FL;BWI;GRR;7;0
7640;5300;1080;FL;ATL;PBI;3;0
11470;11030;1210;FL;CRW;MCO;4;0
14400;9510;790;B6;LGB;SFO;7;0
66050;12150;1020;OO;BIS;DEN;4;0
26700;11890;1100;YV;CLT;MEM;4;0
10150;6150;1420;US;IAH;CLT;4;0
70320;7710;700;OO;LAX;YUM;2;0
1380;9480;1160;FL;JAX;BWI;5;0
54110;9660;1340;EV;ATL;HPN;7;0
25170;11600;1270;XE;SAV;EWR;4;0
37210;7500;1190;9E;CLE;JFK;1;0
4430;6930;1930;FL;FLL;MKE;4;0
16890;7200;850;WN;SAN;OAK;6;0
24950;7900;1100;XE;BHM;IAH;3;0
29150;8650;640;XE;ROC;CLE;7;0
63040;8550;880;OH;DTW;SYR;3;0
9690;9710;460;UA;STT;SJU;6;0
10680;11050;2050;B6;AUS;JFK;5;0
67230;9450;820;OH;DCA;BDL;6;0
5670;5990;2460;US;PHX;MCO;4;0
30050;13500;450;MQ;LAX;SAN;4;0
15780;7400;1200;DL;EYW;ATL;1;0
6630;5020;2540;UA;DCA;DEN;5;0
10480;8350;1410;US;DFW;CLT;1;0
12140;6000;1170;US;CLT;DTW;4;0
22510;3680;1180;XE;IND;EWR;1;0
27730;5200;670;YV;PHX;PSP;6;0
63210;8200;1000;OH;JFK;DCA;7;0
5360;4210;1320;UA;ORD;LGA;1;0
11550;8250;1690;CO;PBI;EWR;6;0
24520;7350;1690;XE;EWR;STL;3;0
5930;10710;2890;UA;BOS;DEN;5;0
51170;5250;850;EV;ATL;FAY;4;0
1520;11340;2570;UA;SFO;ORD;7;0
2390;4250;1750;CO;MIA;EWR;1;0
41090;8450;850;MQ;DSM;ORD;6;0
16980;3300;770;DL;JAX;ATL;4;0
27440;7150;2190;DL;SAN;MSP;3;0
65440;10190;1020;OH;JFK;BUF;3;0
