Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Class
1112.0,605.0,170.0,AA,MIA,EWR,6,1
1845.0,625.0,190.0,WN,PHX,SEA,5,1
66.0,925.0,53.0,AS,ANC,CDV,5,1
1239.0,590.0,202.0,US,PHL,MSY,1,1
407.0,831.0,96.0,FL,IND,ATL,2,1
5314.0,886.0,159.0,EV,DFW,DTW,5,1
625.0,385.0,90.0,CO,EWR,CLE,6,1
6399.0,360.0,88.0,OO,ORD,MCI,4,1
1786.0,580.0,148.0,DL,ATL,LGA,1,1
5400.0,1231.0,74.0,EV,ATL,MYR,4,1
1626.0,1225.0,100.0,AA,DFW,BNA,4,1
294.0,665.0,161.0,B6,LGB,SEA,5,1
1328.0,740.0,200.0,AA,SMF,DFW,3,1
726.0,690.0,195.0,AA,DFW,LGA,3,1
1647.0,795.0,115.0,WN,DEN,PHX,6,1
2783.0,628.0,161.0,DL,BDL,ATL,5,1
4120.0,1185.0,95.0,MQ,ORD,TYS,1,1
4310.0,460.0,90.0,9E,MEM,ATL,1,1
4.0,565.0,87.0,B6,JFK,BUF,1,1
1396.0,1070.0,160.0,AA,DFW,ORF,2,1
4149.0,570.0,95.0,MQ,ORD,TYS,2,1
674.0,910.0,311.0,B6,LAX,JFK,4,1
6921.0,499.0,118.0,OO,MAF,DEN,1,1
6369.0,596.0,108.0,OO,BOI,DEN,2,1
5508.0,720.0,139.0,EV,IAH,CVG,3,1
4683.0,780.0,110.0,OO,EUG,SLC,3,1
3834.0,805.0,73.0,9E,MSP,MSN,5,1
523.0,920.0,117.0,UA,DEN,PHX,2,1
315.0,790.0,137.0,DL,ATL,MCI,4,1
5261.0,570.0,70.0,EV,MEM,XNA,1,1
46.0,735.0,176.0,DL,BOS,ATL,6,1
981.0,497.0,208.0,UA,IAD,IAH,3,1
2580.0,580.0,127.0,XE,MKE,EWR,3,1
726.0,886.0,151.0,UA,OAK,DEN,5,1
4884.0,820.0,67.0,OO,SLC,IDA,7,1
3452.0,360.0,70.0,MQ,LIT,DFW,3,1
7007.0,440.0,50.0,OO,PDX,SEA,5,1
468.0,1157.0,103.0,FL,ATL,BWI,5,1
3679.0,1160.0,82.0,9E,DTW,IND,4,1
3906.0,1170.0,110.0,MQ,ORD,SYR,2,1
72.0,581.0,139.0,B6,MCO,JFK,7,1
630.0,360.0,92.0,FL,DAY,BWI,4,1
2604.0,360.0,179.0,XE,CLT,IAH,5,1
2586.0,525.0,155.0,WN,MCO,BDL,5,1
316.0,764.0,195.0,UA,DEN,IAD,5,1
3034.0,660.0,127.0,XE,COS,IAH,4,1
3004.0,445.0,160.0,MQ,DEN,LAX,6,1
50.0,861.0,249.0,FL,LAX,ATL,2,1
2459.0,655.0,85.0,WN,SMF,SAN,3,1
564.0,1135.0,125.0,WN,MDW,MHT,1,1
352.0,687.0,234.0,UA,SEA,ORD,3,1
1618.0,890.0,178.0,CO,EWR,TPA,4,1
724.0,665.0,246.0,DL,SNA,ATL,7,1
2004.0,740.0,187.0,DL,FLL,DTW,7,1
575.0,460.0,80.0,WN,SAN,PHX,4,1
1668.0,1145.0,79.0,DL,ATL,CHS,1,1
2497.0,930.0,103.0,XE,IAH,ICT,4,1
544.0,987.0,102.0,UA,LAS,SFO,3,1
375.0,1123.0,158.0,UA,DEN,SMF,4,1
889.0,1380.0,240.0,FL,LAX,MKE,6,1
2483.0,1245.0,200.0,AA,DFW,LAX,5,1
1095.0,1185.0,140.0,WN,BWI,MCO,1,1
1609.0,1257.0,120.0,FL,MCO,DCA,4,1
2955.0,1050.0,65.0,XE,IAH,DFW,1,1
6417.0,621.0,55.0,OO,LAX,SMX,1,1
1670.0,565.0,105.0,WN,BOI,OAK,5,1
6596.0,904.0,98.0,OO,MFR,SFO,6,1
440.0,1345.0,127.0,FL,ATL,MKE,2,1
2735.0,400.0,185.0,WN,PHL,TPA,2,1
1824.0,705.0,90.0,WN,MDW,MSP,1,1
7035.0,760.0,141.0,OO,LAX,PDX,4,1
133.0,1155.0,410.0,DL,JFK,SFO,2,1
315.0,482.0,134.0,UA,DFW,DEN,5,1
1531.0,1145.0,133.0,US,SYR,CLT,2,1
661.0,540.0,156.0,UA,LGA,ORD,6,1
6667.0,892.0,59.0,OO,CIC,SFO,2,1
3584.0,985.0,135.0,WN,LAX,DEN,5,1
4216.0,940.0,51.0,9E,DTW,MBS,3,1
307.0,975.0,75.0,WN,SFO,LAX,3,1
552.0,1134.0,96.0,UA,IAD,BOS,7,1
765.0,1007.0,107.0,FL,PBI,ATL,4,1
1846.0,690.0,157.0,CO,IAH,ORD,3,1
1587.0,740.0,95.0,WN,BNA,BWI,7,1
2151.0,1114.0,206.0,DL,MEM,SLC,4,1
1752.0,830.0,90.0,WN,ELP,DAL,1,1
578.0,1155.0,75.0,WN,LAX,TUS,4,1
621.0,400.0,320.0,US,BWI,PHX,1,1
1439.0,780.0,122.0,DL,DCA,ATL,4,1
3794.0,675.0,200.0,MQ,ORD,ELP,7,1
3763.0,1080.0,70.0,WN,BWI,ALB,5,1
403.0,445.0,215.0,CO,IAH,SAN,5,1
3758.0,915.0,88.0,9E,DTW,MLI,3,1
4952.0,819.0,176.0,EV,ELP,ATL,3,1
1141.0,1125.0,85.0,WN,LAS,ABQ,7,1
4308.0,1330.0,85.0,MQ,ORD,BNA,3,1
2758.0,970.0,81.0,DL,LAX,SFO,2,1
1193.0,1150.0,113.0,DL,CLT,DTW,2,1
5236.0,624.0,61.0,EV,GSP,ATL,7,1
54.0,1315.0,311.0,UA,KOA,SFO,5,1
2930.0,1095.0,55.0,MQ,DFW,SHV,4,1
1184.0,735.0,145.0,AA,ORD,EWR,2,1
2092.0,705.0,195.0,WN,MCI,LAS,1,1
163.0,570.0,265.0,WN,STL,SEA,1,1
6835.0,924.0,141.0,OO,BUR,DEN,6,1
1118.0,800.0,120.0,WN,BWI,BNA,2,1
5490.0,975.0,99.0,EV,LFT,ATL,7,1
384.0,630.0,105.0,WN,MDW,IAD,1,1
5275.0,494.0,84.0,EV,ATL,JAN,1,1
4219.0,1030.0,100.0,9E,ROA,DTW,1,1
2243.0,745.0,190.0,AA,PIT,DFW,4,1
2027.0,495.0,55.0,WN,TPA,FLL,1,1
6460.0,589.0,76.0,OO,ABQ,DEN,4,1
523.0,855.0,185.0,WN,TUL,LAS,3,1
2042.0,810.0,87.0,XE,ORF,EWR,4,1
6332.0,485.0,45.0,OO,DEN,ASE,1,1
2175.0,950.0,70.0,WN,LAX,OAK,4,1
2573.0,445.0,111.0,XE,IAH,BNA,1,1
211.0,465.0,245.0,CO,EWR,IAH,5,1
2533.0,420.0,207.0,DL,BOS,MCO,2,1
4301.0,740.0,135.0,MQ,ORD,OKC,5,1
31.0,750.0,168.0,B6,JFK,MCO,5,1
1509.0,1070.0,160.0,WN,MCI,MCO,3,1
1624.0,600.0,133.0,FL,MCO,PHL,6,1
2182.0,855.0,129.0,XE,COS,IAH,7,1
151.0,516.0,45.0,AS,OTZ,OME,4,1
6840.0,540.0,81.0,OO,SFO,SBA,5,1
1734.0,1350.0,255.0,DL,LAX,CMH,5,1
4844.0,1025.0,98.0,OO,SLC,RAP,6,1
4663.0,360.0,180.0,OO,DFW,SLC,7,1
450.0,844.0,135.0,F9,MKE,LGA,4,1
5117.0,525.0,85.0,EV,ATL,FAY,6,1
4130.0,995.0,135.0,MQ,MDT,ORD,1,1
157.0,390.0,70.0,WN,OAK,ONT,3,1
2938.0,1194.0,103.0,XE,IAH,HSV,4,1
4148.0,595.0,95.0,MQ,OMA,ORD,7,1
2516.0,1055.0,87.0,XE,ROC,EWR,5,1
7294.0,410.0,146.0,YV,SYR,ORD,4,1
4146.0,1057.0,133.0,9E,PIT,MEM,1,1
2683.0,554.0,102.0,YV,ORF,CLT,1,1
2114.0,770.0,204.0,DL,SEA,MSP,2,1
442.0,765.0,320.0,AA,SFO,MIA,4,1
41.0,560.0,165.0,WN,SEA,ABQ,2,1
119.0,889.0,213.0,B6,JFK,MSY,3,1
1807.0,575.0,260.0,AA,EWR,DFW,3,1
784.0,1260.0,190.0,AA,DFW,LGA,4,1
590.0,620.0,60.0,WN,LAX,LAS,3,1
305.0,469.0,156.0,B6,IAD,FLL,2,1
1242.0,730.0,121.0,B6,CLT,BOS,6,1
220.0,530.0,85.0,WN,HOU,MAF,4,1
6750.0,475.0,70.0,OO,ORD,LEX,3,1
2389.0,505.0,132.0,DL,DTW,MSP,1,1
1969.0,595.0,60.0,WN,STL,MDW,6,1
4804.0,811.0,101.0,OO,FAT,SLC,7,1
4321.0,865.0,135.0,MQ,ORD,OKC,5,1
6470.0,1260.0,106.0,OO,LAX,SLC,3,1
5391.0,682.0,60.0,EV,ATL,AVL,4,1
593.0,1071.0,295.0,UA,BOS,DEN,7,1
587.0,1223.0,93.0,UA,SFO,SNA,1,1
5941.0,360.0,113.0,XE,TUL,ORD,1,1
2529.0,455.0,160.0,WN,DEN,LAX,3,1
7776.0,913.0,67.0,OO,RKS,SLC,3,1
1227.0,1210.0,123.0,B6,BOS,RDU,2,1
660.0,445.0,225.0,WN,BWI,HOU,7,1
1272.0,1055.0,55.0,WN,LAS,ONT,5,1
3213.0,785.0,80.0,MQ,LIT,DFW,7,1
1471.0,1151.0,152.0,DL,ATL,OKC,1,1
684.0,770.0,365.0,WN,PVD,PHX,4,1
613.0,1075.0,200.0,AA,JFK,MIA,7,1
6215.0,1105.0,138.0,OO,DEN,FCA,7,1
4832.0,910.0,103.0,OO,SLC,MSO,5,1
3299.0,1250.0,70.0,MQ,DFW,MAF,2,1
1551.0,1070.0,245.0,WN,SFO,MDW,1,1
861.0,930.0,135.0,WN,PHL,MDW,4,1
1600.0,1095.0,100.0,WN,BOS,BWI,4,1
941.0,745.0,170.0,WN,LAS,MCI,4,1
1815.0,950.0,65.0,WN,LAS,SAN,7,1
